Modality,Model,threshold,accuracy,precision,recall,f1,balanced_accuracy,tp,tn,fp,fn
Audio,XGBoost,0.74,0.723404255319149,0.7380952380952381,0.6739130434782609,0.7045454545454546,0.7223731884057971,31,37,11,15
Audio,XGBoost,0.75,0.7446808510638298,0.775,0.6739130434782609,0.7209302325581395,0.7432065217391304,31,39,9,15
Audio,XGBoost,0.76,0.7446808510638298,0.775,0.6739130434782609,0.7209302325581395,0.7432065217391304,31,39,9,15
Audio,XGBoost,0.77,0.7446808510638298,0.775,0.6739130434782609,0.7209302325581395,0.7432065217391304,31,39,9,15
Audio,XGBoost,0.78,0.7659574468085106,0.8157894736842105,0.6739130434782609,0.7380952380952381,0.7640398550724637,31,41,7,15
Audio,XGBoost,0.79,0.7659574468085106,0.8157894736842105,0.6739130434782609,0.7380952380952381,0.7640398550724637,31,41,7,15
Audio,XGBoost,0.8,0.776595744680851,0.8378378378378378,0.6739130434782609,0.7469879518072289,0.7744565217391304,31,42,6,15
Audio,XGBoost,0.81,0.7659574468085106,0.8333333333333334,0.6521739130434783,0.7317073170731707,0.7635869565217391,30,42,6,16
Audio,XGBoost,0.82,0.7553191489361702,0.8285714285714286,0.6304347826086957,0.7160493827160493,0.7527173913043479,29,42,6,17
Audio,XGBoost,0.83,0.7553191489361702,0.8285714285714286,0.6304347826086957,0.7160493827160493,0.7527173913043479,29,42,6,17
Audio,XGBoost,0.84,0.7659574468085106,0.8529411764705882,0.6304347826086957,0.725,0.7631340579710145,29,43,5,17
Audio,XGBoost,0.85,0.776595744680851,0.8787878787878788,0.6304347826086957,0.7341772151898734,0.7735507246376812,29,44,4,17
Audio,XGBoost,0.86,0.7872340425531915,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.7835144927536233,28,46,2,18
Audio,XGBoost,0.87,0.7872340425531915,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.7835144927536233,28,46,2,18
Audio,XGBoost,0.88,0.7872340425531915,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.7835144927536233,28,46,2,18
Audio,XGBoost,0.89,0.7872340425531915,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.7835144927536233,28,46,2,18
Audio,XGBoost,0.9,0.7872340425531915,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.7835144927536233,28,46,2,18
Audio,XGBoost,0.91,0.7872340425531915,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.7835144927536233,28,46,2,18
Audio,XGBoost,0.92,0.776595744680851,0.9310344827586207,0.5869565217391305,0.72,0.7726449275362319,27,46,2,19
Audio,XGBoost,0.93,0.7553191489361702,0.9259259259259259,0.5434782608695652,0.684931506849315,0.7509057971014492,25,46,2,21
Audio,XGBoost,0.94,0.7659574468085106,0.9615384615384616,0.5434782608695652,0.6944444444444444,0.761322463768116,25,47,1,21
Audio,XGBoost,0.95,0.7659574468085106,0.9615384615384616,0.5434782608695652,0.6944444444444444,0.761322463768116,25,47,1,21
Audio,XGBoost,0.96,0.7659574468085106,0.9615384615384616,0.5434782608695652,0.6944444444444444,0.761322463768116,25,47,1,21
Audio,XGBoost,0.97,0.776595744680851,1.0,0.5434782608695652,0.704225352112676,0.7717391304347826,25,48,0,21
Audio,XGBoost,0.98,0.723404255319149,1.0,0.43478260869565216,0.6060606060606061,0.717391304347826,20,48,0,26
Audio,XGBoost,0.99,0.6595744680851063,1.0,0.30434782608695654,0.4666666666666667,0.6521739130434783,14,48,0,32
Video,LogisticRegression,0.01,0.7021276595744681,0.6323529411764706,0.9347826086956522,0.7543859649122807,0.7069746376811594,43,23,25,3
Video,LogisticRegression,0.02,0.723404255319149,0.6515151515151515,0.9347826086956522,0.7678571428571429,0.7278079710144928,43,25,23,3
Video,LogisticRegression,0.03,0.7446808510638298,0.671875,0.9347826086956522,0.7818181818181819,0.7486413043478262,43,27,21,3
Video,LogisticRegression,0.04,0.7659574468085106,0.6935483870967742,0.9347826086956522,0.7962962962962963,0.7694746376811594,43,29,19,3
Video,LogisticRegression,0.05,0.776595744680851,0.7049180327868853,0.9347826086956522,0.8037383177570093,0.7798913043478262,43,30,18,3
Video,LogisticRegression,0.06,0.7978723404255319,0.7288135593220338,0.9347826086956522,0.819047619047619,0.8007246376811594,43,32,16,3
Video,LogisticRegression,0.07,0.7978723404255319,0.7288135593220338,0.9347826086956522,0.819047619047619,0.8007246376811594,43,32,16,3
Video,LogisticRegression,0.08,0.7978723404255319,0.7368421052631579,0.9130434782608695,0.8155339805825242,0.8002717391304348,42,33,15,4
Video,LogisticRegression,0.09,0.7978723404255319,0.7368421052631579,0.9130434782608695,0.8155339805825242,0.8002717391304348,42,33,15,4
Video,LogisticRegression,0.1,0.7978723404255319,0.7368421052631579,0.9130434782608695,0.8155339805825242,0.8002717391304348,42,33,15,4
Video,LogisticRegression,0.11,0.7978723404255319,0.7368421052631579,0.9130434782608695,0.8155339805825242,0.8002717391304348,42,33,15,4
Video,LogisticRegression,0.12,0.8085106382978723,0.75,0.9130434782608695,0.8235294117647058,0.8106884057971014,42,34,14,4
Video,LogisticRegression,0.13,0.8191489361702128,0.7636363636363637,0.9130434782608695,0.8316831683168316,0.8211050724637681,42,35,13,4
Video,LogisticRegression,0.14,0.8085106382978723,0.7592592592592593,0.8913043478260869,0.82,0.8102355072463767,41,35,13,5
Video,LogisticRegression,0.15,0.8191489361702128,0.7735849056603774,0.8913043478260869,0.8282828282828283,0.8206521739130435,41,36,12,5
Video,LogisticRegression,0.16,0.8191489361702128,0.7735849056603774,0.8913043478260869,0.8282828282828283,0.8206521739130435,41,36,12,5
Video,LogisticRegression,0.17,0.8297872340425532,0.7884615384615384,0.8913043478260869,0.8367346938775511,0.8310688405797102,41,37,11,5
Video,LogisticRegression,0.18,0.8297872340425532,0.7884615384615384,0.8913043478260869,0.8367346938775511,0.8310688405797102,41,37,11,5
Video,LogisticRegression,0.19,0.8404255319148937,0.803921568627451,0.8913043478260869,0.845360824742268,0.8414855072463767,41,38,10,5
Video,LogisticRegression,0.2,0.8404255319148937,0.803921568627451,0.8913043478260869,0.845360824742268,0.8414855072463767,41,38,10,5
Video,LogisticRegression,0.21,0.851063829787234,0.82,0.8913043478260869,0.8541666666666666,0.8519021739130435,41,39,9,5
Video,LogisticRegression,0.22,0.851063829787234,0.82,0.8913043478260869,0.8541666666666666,0.8519021739130435,41,39,9,5
Video,LogisticRegression,0.23,0.851063829787234,0.82,0.8913043478260869,0.8541666666666666,0.8519021739130435,41,39,9,5
Video,LogisticRegression,0.24,0.851063829787234,0.82,0.8913043478260869,0.8541666666666666,0.8519021739130435,41,39,9,5
Video,LogisticRegression,0.25,0.851063829787234,0.82,0.8913043478260869,0.8541666666666666,0.8519021739130435,41,39,9,5
Video,LogisticRegression,0.26,0.851063829787234,0.82,0.8913043478260869,0.8541666666666666,0.8519021739130435,41,39,9,5
Video,LogisticRegression,0.27,0.851063829787234,0.82,0.8913043478260869,0.8541666666666666,0.8519021739130435,41,39,9,5
Video,LogisticRegression,0.28,0.851063829787234,0.82,0.8913043478260869,0.8541666666666666,0.8519021739130435,41,39,9,5
Video,LogisticRegression,0.29,0.8297872340425532,0.8125,0.8478260869565217,0.8297872340425532,0.8301630434782609,39,39,9,7
Video,LogisticRegression,0.3,0.8297872340425532,0.8125,0.8478260869565217,0.8297872340425532,0.8301630434782609,39,39,9,7
Video,LogisticRegression,0.31,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.32,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.33,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.34,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.35,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.36,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.37,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.38,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.39,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.4,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.41,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.42,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.43,0.8404255319148937,0.8297872340425532,0.8478260869565217,0.8387096774193549,0.8405797101449275,39,40,8,7
Video,LogisticRegression,0.44,0.851063829787234,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.8509963768115942,39,41,7,7
Video,LogisticRegression,0.45,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.46,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.47,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.48,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.49,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.5,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.51,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.52,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.53,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.54,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.55,0.8404255319148937,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.8401268115942029,38,41,7,8
Video,LogisticRegression,0.56,0.851063829787234,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.8505434782608696,38,42,6,8
Video,LogisticRegression,0.57,0.851063829787234,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.8505434782608696,38,42,6,8
Video,LogisticRegression,0.58,0.8617021276595744,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.8609601449275363,38,43,5,8
Video,LogisticRegression,0.59,0.8617021276595744,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.8609601449275363,38,43,5,8
Video,LogisticRegression,0.6,0.8617021276595744,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.8609601449275363,38,43,5,8
Video,LogisticRegression,0.61,0.8617021276595744,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.8609601449275363,38,43,5,8
Video,LogisticRegression,0.62,0.8617021276595744,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.8609601449275363,38,43,5,8
Video,LogisticRegression,0.63,0.8617021276595744,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.8609601449275363,38,43,5,8
Video,LogisticRegression,0.64,0.8617021276595744,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.8609601449275363,38,43,5,8
Video,LogisticRegression,0.65,0.851063829787234,0.8809523809523809,0.8043478260869565,0.8409090909090909,0.850090579710145,37,43,5,9
Video,LogisticRegression,0.66,0.851063829787234,0.8809523809523809,0.8043478260869565,0.8409090909090909,0.850090579710145,37,43,5,9
Video,LogisticRegression,0.67,0.851063829787234,0.8809523809523809,0.8043478260869565,0.8409090909090909,0.850090579710145,37,43,5,9
Video,LogisticRegression,0.68,0.851063829787234,0.8809523809523809,0.8043478260869565,0.8409090909090909,0.850090579710145,37,43,5,9
Video,LogisticRegression,0.69,0.851063829787234,0.8809523809523809,0.8043478260869565,0.8409090909090909,0.850090579710145,37,43,5,9
Video,LogisticRegression,0.7,0.851063829787234,0.8809523809523809,0.8043478260869565,0.8409090909090909,0.850090579710145,37,43,5,9
Video,LogisticRegression,0.71,0.851063829787234,0.8809523809523809,0.8043478260869565,0.8409090909090909,0.850090579710145,37,43,5,9
Video,LogisticRegression,0.72,0.8404255319148937,0.8780487804878049,0.782608695652174,0.8275862068965517,0.8392210144927537,36,43,5,10
Video,LogisticRegression,0.73,0.8404255319148937,0.8780487804878049,0.782608695652174,0.8275862068965517,0.8392210144927537,36,43,5,10
Video,LogisticRegression,0.74,0.8404255319148937,0.8780487804878049,0.782608695652174,0.8275862068965517,0.8392210144927537,36,43,5,10
